Time_s,AOA_deg
405.382950,3.030517
405.387493,2.922339
405.392035,2.810830
405.396578,2.696240
405.401121,2.578819
405.405663,2.458817
405.410206,2.336483
405.414748,2.212068
405.419291,2.085821
405.423833,1.957992
405.428376,1.828831
405.432919,1.698587
405.437461,1.567511
405.442004,1.435852
405.446546,1.303861
405.451089,1.171786
405.455631,1.039878
405.460174,0.908387
405.464717,0.777562
405.469259,0.647654
405.473802,0.518912
405.478344,0.391585
405.482887,0.265925
405.487429,0.142180
405.491972,0.020600
405.496515,-0.098564
405.501057,-0.215063
405.505600,-0.328648
405.510142,-0.439067
405.514685,-0.546072
405.519227,-0.649413
405.523770,-0.748839
405.528313,-0.844102
405.532855,-0.934950
405.537398,-1.021135
405.541940,-1.102406
405.546483,-1.178514
405.551025,-1.249209
405.555568,-1.314241
405.560111,-1.373359
405.564653,-1.426316
405.569196,-1.472860
405.573738,-1.512741
405.578281,-1.545710
405.582824,-1.571518
405.587366,-1.589913
405.591909,-1.600647
405.596451,-1.603455
405.600994,-1.597381
405.605536,-1.582208
405.610079,-1.558269
405.614622,-1.525897
405.619164,-1.485425
405.623707,-1.437187
405.628249,-1.381515
405.632792,-1.318743
405.637334,-1.249204
405.641877,-1.173231
405.646420,-1.091158
405.650962,-1.003318
405.655505,-0.910043
405.660047,-0.811667
405.664590,-0.708523
405.669132,-0.600945
405.673675,-0.489266
405.678218,-0.373818
405.682760,-0.254935
405.687303,-0.132951
405.691845,-0.008198
405.696388,0.118990
405.700930,0.248281
405.705473,0.379341
405.710016,0.511836
405.714558,0.645434
405.719101,0.779801
405.723643,0.914605
405.728186,1.049511
405.732728,1.184188
405.737271,1.318301
405.741814,1.451517
405.746356,1.583504
405.750899,1.713927
405.755441,1.842454
405.759984,1.968752
405.764526,2.092488
405.769069,2.213327
405.773612,2.330938
405.778154,2.444986
405.782697,2.555139
405.787239,2.661064
405.791782,2.762426
405.796324,2.858894
405.800867,2.950133
405.805410,3.035811
405.809952,3.115595
405.814495,3.189150
405.819037,3.256145
405.823580,3.316246
405.828123,3.369119
405.832665,3.414431
405.837208,3.451850
405.841750,3.481042
405.846293,3.501674
405.850835,3.513412
405.855378,3.515993
405.859921,3.510958
405.864463,3.499204
405.869006,3.480921
405.873548,3.456300
405.878091,3.425532
405.882633,3.388809
405.887176,3.346320
405.891719,3.298257
405.896261,3.244812
405.900804,3.186174
405.905346,3.122534
405.909889,3.054085
405.914431,2.981016
405.918974,2.903519
405.923517,2.821785
405.928059,2.736003
405.932602,2.646367
405.937144,2.553066
405.941687,2.456291
405.946229,2.356233
405.950772,2.253084
405.955315,2.147033
405.959857,2.038273
405.964400,1.926994
405.968942,1.813387
405.973485,1.697643
405.978027,1.579952
405.982570,1.460507
405.987113,1.339497
405.991655,1.217114
405.996198,1.093549
406.000740,0.968992
406.005283,0.843635
406.009825,0.717668
406.014368,0.591282
406.018911,0.464669
406.023453,0.338019
406.027996,0.211524
406.032538,0.085374
406.037081,-0.040241
406.041623,-0.165128
406.046166,-0.289097
406.050709,-0.411957
406.055251,-0.533517
406.059794,-0.653587
406.064336,-0.771974
406.068879,-0.888489
406.073422,-1.002940
406.077964,-1.115137
406.082507,-1.224888
406.087049,-1.332002
406.091592,-1.436289
406.096134,-1.537558
