curve_id,Time_s,Height_km,z_m,ne_m3,original_label
t393_4_h76km,3.934000e+02,7.600000e+01,2.768901e-02,1.658359e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.782620e-02,1.663285e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.796340e-02,1.668273e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.810059e-02,1.673295e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.823778e-02,1.678335e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.837498e-02,1.683391e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.851217e-02,1.688462e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.864937e-02,1.693548e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.878656e-02,1.698649e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.892375e-02,1.703766e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.906095e-02,1.708899e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.919814e-02,1.714046e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.933533e-02,1.719210e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.947253e-02,1.724389e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.960972e-02,1.729583e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.974691e-02,1.734793e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,2.988411e-02,1.740019e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.002130e-02,1.745261e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.015849e-02,1.750518e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.029569e-02,1.755792e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.043288e-02,1.761093e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.057007e-02,1.766474e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.070727e-02,1.772033e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.084446e-02,1.777806e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.098166e-02,1.783699e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.111885e-02,1.789633e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.125604e-02,1.795588e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.139324e-02,1.801563e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.153043e-02,1.807558e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.166762e-02,1.813574e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.180482e-02,1.819609e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.194201e-02,1.825664e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.207920e-02,1.831739e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.221640e-02,1.837835e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.235359e-02,1.843951e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.249078e-02,1.850087e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.262798e-02,1.856244e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.276517e-02,1.862421e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.290237e-02,1.868618e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.303956e-02,1.874837e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.317675e-02,1.881075e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.331395e-02,1.887317e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.345114e-02,1.893367e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.358833e-02,1.898480e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.372553e-02,1.902017e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.386272e-02,1.904583e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.399991e-02,1.906927e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.413711e-02,1.909252e+16,Time (Hight)=393.4 s (76 km)
t393_4_h76km,3.934000e+02,7.600000e+01,3.427430e-02,1.911580e+16,Time (Hight)=393.4 s (76 km)
