t_s,gyro_x_radps,gyro_y_radps,gyro_z_radps,accel_x_mps2,accel_y_mps2,accel_z_mps2,ins_pos_ecef_x_m,ins_pos_ecef_y_m,ins_pos_ecef_z_m,ins_vel_ecef_x_mps,ins_vel_ecef_y_mps,ins_vel_ecef_z_mps,ins_quat_w,ins_quat_x,ins_quat_y,ins_quat_z
10.055,-1.014562861024177e-05,-0.0005877450269125099,0.0038267081833907946,19.953596181726187,-37.83182385764842,-4.945751022749135,-1656857.4057765345,5047674.968768027,3661024.7323163073,-62.118278721922245,-4913.262423927439,6907.871558979739,0.9956245131332272,-3.8289194364595116e-05,0.00027929130792222687,0.09344383007201361
10.06,-1.5223721337774895e-06,-0.0005694125176542068,0.0038062064297997153,19.957230620504745,-37.84226885106434,-4.940896262627686,-1656857.7167410515,5047650.40252658,3661059.271292725,-62.26752813587358,-4913.234154586335,6907.7190080356495,0.9956236195403267,-3.817447267228238e-05,0.0002778263707064451,0.09345335504216108
10.065,5.997180319492985e-06,-0.0005730236313437502,0.0038418119350052634,19.97516893278382,-37.85631643860244,-4.958941293368516,-1656858.0284519244,5047625.836426565,3661093.809506328,-62.416821031365494,-4913.2058512851945,6907.566433217795,0.9956227306326907,-3.804258450791209e-05,0.000276409076886862,0.0934628289657912
10.07,1.8559787159151696e-05,-0.0005859910328094832,0.0038193026445545956,19.986360030658144,-37.87600996558689,-4.952752021786623,-1656858.340909474,5047601.2704678755,3661128.346956828,-62.566198766282724,-4913.177624724664,6907.413766807721,0.9956218333157605,-3.7891111380159334e-05,0.0002749845551571973,0.09347239149996164
10.075000000000001,-1.1363284639451463e-05,-0.0005831926403968589,0.0038382435863311,20.005278515116128,-37.88967482607748,-4.957879828942079,-1656858.6541141504,5047576.704650432,3661162.883643866,-62.715671823244264,-4913.149352698462,6907.261048408219,0.9956209411755303,-3.7705354473918255e-05,0.00027353069034169203,0.09348189799110306
10.08,-5.405807683697362e-06,-0.0005782288285217308,0.0038153291724454994,20.00847376098796,-37.919126199365174,-4.953145936199812,-1656858.9680664553,5047552.138974276,3661197.4195671794,-62.865250065929075,-4913.12110939276,6907.108276863156,0.9956200445106286,-3.7594718701668965e-05,0.00027207679946733386,0.09349145163867378
10.085,-1.7445220584678887e-06,-0.0005840922060945181,0.0038475430685052238,20.015459647094243,-37.935563170300036,-4.95697390723054,-1656859.282766837,5047527.573439534,3661231.95472638,-63.014902628129185,-4913.0927875404095,6906.955403374539,0.9956191531054391,-3.7470430238368205e-05,0.0002706366540232678,0.0935009482378471
10.09,-5.757497801748373e-06,-0.0005867193369283941,0.003819250173346979,20.027120285444845,-37.948614479821714,-4.959469498826472,-1656859.598215626,5047503.008046418,3661266.489121038,-63.164613035546544,-4913.064458778324,6906.802459906696,0.9956182540810343,-3.733563628226064e-05,0.00026918277317813255,0.09351052500824611
10.095,1.3411088177666397e-05,-0.0005764530372526599,0.0038546138747088746,20.05007966181215,-37.97242341072579,-4.960429541972554,-1656859.9144131544,5047478.442794934,3661301.022750857,-63.31439823660153,-4913.036135170815,6906.649467594987,0.995617361578657,-3.7210235681334086e-05,0.00026772141247965813,0.09352003135049496
10.1,-6.614944982029866e-06,-0.0005857184837210928,0.0038364754794390343,20.05473380092695,-37.9807198190527,-4.951712215799811,-1656860.2313599745,5047453.877685075,3661335.555615515,-63.46432980765034,-4913.0078084062325,6906.496395615855,0.9956164607094382,-3.703950022703425e-05,0.00026629008992810703,0.09352962569194374
10.105,-2.0990478842733118e-05,-0.0005982433580732889,0.003843267577741068,20.073824516847115,-38.00315026944211,-4.963555346343278,-1656860.5490565756,5047429.312716954,3661370.0877148043,-63.61431071416247,-4912.979439561767,6906.34332011704,0.9956155639916031,-3.691645598070508e-05,0.00026483102102577627,0.09353917489152808
10.11,-4.594431229304191e-06,-0.0005910474604663173,0.0038259196254947173,20.07067761719503,-38.01284768236925,-4.9606824922251995,-1656860.867503363,5047404.747890591,3661404.6190484473,-63.76440420011153,-4912.951105875942,6906.190137166641,0.9956146655984831,-3.682625958109957e-05,0.0002633374161367656,0.09354874099875794
10.115,2.663820326622981e-05,-0.0006023611458974621,0.0038451614178834494,20.087741668022623,-38.022412382699656,-4.962566375346055,-1656861.1867006405,5047380.183205991,3661439.149616097,-63.91450677588301,-4912.922734125079,6906.036922653642,0.995613771165633,-3.669694715319063e-05,0.0002618655550528232,0.09355826390603769
10.120000000000001,-3.117085470449452e-05,-0.0005767135890357209,0.0038549696953791538,20.09795008322861,-38.043068026242786,-4.959294792422985,-1656861.5066486655,5047355.6186631955,3661473.6794176023,-64.06470324992294,-4912.894384105643,6905.883679375069,0.9956128721487219,-3.648723680047023e-05,0.00026037284073461494,0.09356783467858146
10.125,7.1470744311081795e-06,-0.0005696165751384077,0.003847645682034708,20.101114662514856,-38.06918899873372,-4.964106246216819,-1656861.8273478951,5047331.054262245,3661508.2084527286,-64.21498856562184,-4912.865995932207,6905.730371299043,0.995611970721088,-3.6427408131269024e-05,0.0002589304422098382,0.09357742989066148
10.13,1.8553139788271128e-06,-0.0006160694684827947,0.003847388929217081,20.116339353552508,-38.091527684157896,-4.967884531470638,-1656862.1487986916,5047306.490003319,3661542.736721027,-64.36533008249226,-4912.837574529313,6905.576948158756,0.9956110709114111,-3.627387002810102e-05,0.00025751467190683586,0.09358700683873515
10.135,-3.136828067776331e-06,-0.000581341907049546,0.003849604231776252,20.12112429275769,-38.096108813307694,-4.96986501965689,-1656862.4710014593,5047281.925886511,3661577.2642219914,-64.51577694537977,-4912.809148957297,6905.423437524015,0.9956101710969262,-3.612263495688973e-05,0.0002559820409188834,0.09359658314649859
10.14,7.700608126419233e-06,-0.000606295490389523,0.0038439082556613133,20.13168967869439,-38.113514302364365,-4.962236152445109,-1656862.7939565356,5047257.361911807,3661611.7909553573,-64.66625357873116,-4912.780732350596,6905.269908709213,0.9956092706470102,-3.5991949985835834e-05,0.0002545346797715688,0.09360616495939111
10.145,1.6742933112570562e-05,-0.0005845360098047354,0.0038695867096889937,20.151260461282558,-38.13157508715901,-4.976936372766683,-1656863.117664221,5047232.798079304,3661646.316920981,-64.81682063290167,-4912.752268686319,6905.116340811362,0.9956083714526206,-3.5828454482895406e-05,0.0002530277441674597,0.09361573258135264
10.15,2.384119102717082e-05,-0.0005471090973592659,0.0038866260814874216,20.16283828275805,-38.14937486425965,-4.980020656421208,-1656863.4421250008,5047208.234388976,3661680.842118522,-64.96749120992595,-4912.723862595841,6904.962675667122,0.995607466140742,-3.564752877132735e-05,0.00025157708690158,0.09362536410094396
10.155,1.8462846274337927e-05,-0.0005755492119869323,0.003850854933869797,20.1589283265398,-38.1557847788675,-4.984698846411997,-1656863.767339338,5047183.670840688,3661715.366547563,-65.11824372447545,-4912.695452826778,6904.80894066533,0.9956065567220804,-3.545768491385958e-05,0.000250221248856194,0.09363503801506144
10.16,-7.387607286997096e-06,-0.0005826338290981522,0.0038674247191935684,20.172189099526904,-38.176098502054636,-4.98222401332528,-1656864.0933074136,5047159.107434453,3661749.890207829,-65.26898651495783,-4912.667040948688,6904.655165782953,0.9956056555992144,-3.5274592739979896e-05,0.00024879336070071997,0.09364462289114762
10.165000000000001,1.2350905737154701e-05,-0.0005875072006719729,0.0038540249082164545,20.191804184475075,-38.19608112206439,-4.987038751701819,-1656864.4200294558,5047134.544170349,3661784.4130990626,-65.41983031850532,-4912.638601027515,6904.501327639224,0.9956047505045366,-3.51541738102829e-05,0.0002473417883806996,0.09365424901745405
10.17,9.06938157677841e-06,-0.0005911127694528393,0.003872695119381586,20.195359903264603,-38.206672825048635,-4.9847227063280934,-1656864.7475060162,5047109.981048408,3661818.935220912,-65.5707938886059,-4912.610175361441,6904.34741212626,0.995603848457101,-3.4983492739847446e-05,0.0002458827064687705,0.09366384177076974
10.175,-2.150350050907716e-06,-0.0005644024058648519,0.003853895037690014,20.203322032266698,-38.21900478608919,-4.9826333325097565,-1656865.075737495,5047085.418068656,3661853.456573105,-65.72179763447731,-4912.581725309785,6904.193465024778,0.9956029419447486,-3.482012365599977e-05,0.0002444138834704598,0.0936734809878123
10.18,6.943547039782552e-06,-0.000604480993936959,0.0038876836579059704,20.205110288356188,-38.24590713608576,-4.993729172875023,-1656865.4047241495,5047060.855231201,3661887.9771554726,-65.87286417531973,-4912.553256612538,6904.039482028678,0.995602039722821,-3.469094718272672e-05,0.00024300891362541243,0.09368307340691012
10.185,-1.934177343964364e-05,-0.0005687665347979941,0.0038659063730032803,20.223468391446488,-38.255539053920934,-4.995413511377977,-1656865.7344662452,5047036.292536123,3661922.496967583,-66.02397402742473,-4912.524774913858,6903.885362153016,0.9956011295171143,-3.45297287092737e-05,0.00024150632073797844,0.09369274991503387
10.19,4.435368842064195e-06,-0.0005723235578011302,0.00388369526973309,20.23120220108988,-38.271986449626745,-4.985686280739697,-1656866.0649641403,5047011.729983393,3661957.0160090257,-66.17518404973974,-4912.496316682738,6903.7312148673145,0.9956002242928429,-3.4442313082513744e-05,0.0002400864624771773,0.0937023722232183
10.195,-5.752819046942758e-06,-0.0005843100201281935,0.0038774924060957956,20.241436788287224,-38.29021216561644,-4.987462594083208,-1656866.3962182824,5046987.167573103,3661991.534279653,-66.32647278604148,-4912.467799663237,6903.577036117833,0.9955993148101469,-3.4294872201059776e-05,0.00023866332222942754,0.09371203878502786
10.200000000000001,-3.733819413564221e-06,-0.0005868740503609951,0.003886870750464516,20.255211741313914,-38.29904463660915,-4.996295995994733,-1656866.728229064,5046962.605305428,3662026.0517792143,-66.47783985067097,-4912.439270133383,6903.422788427338,0.9955984066911504,-3.416998520995015e-05,0.00023720796025305382,0.09372168990601105
